contracts
Authorizable,ContractManager,OrderLogic,OrderStorage,Owned,ProductLogic,ProductStorage,Purchase,TokenCubit,UserLogic,UserStorage,VatLogic,VatStorage,average
gas price
575342,725916,1984009,2190676,226977,1813829,2102538,1173138,1661887,1168910,1145054,1999237,1144841,1377873
ropsten price in ETH
0.000575342,0.000725916,0.001984009,0.002190676,0.000226977,0.001813829,0.002102538,0.001173138,0.001661887,0.001168910,0.001145054,0.001999237,0.001144841,0.001377873
ropsten price in EUR
0.11921,0.1504,0.41107,0.45389,0.04703,0.37581,0.43562,0.24306,0.34433,0.24219,0.23724,0.41422,0.2372,0.28548
mainnet price in ETH
0.00690410,0.00871099,0.02380811,0.02628811,0.00272372,0.02176595,0.02523046,0.01407766,0.01994264,0.01402692,0.01374065,0.02399084,0.01373809,0.01653448
mainnet price in EUR
1.4305,1.8048,4.9328,5.4466,0.5643,4.5097,5.2275,2.9167,4.1319,2.9062,2.8469,4.9707,2.8464,3.4258
